Model,Best_Val_MAE
InceptionV3,7.568902493783556
EfficientNetB3,7.61397088004629
EfficientNetB0,7.711943423905562
DenseNet121,7.754147863178001
ResNet50,7.9672582281843685
Xception,7.967912420197205
VGG16,8.19720465034115
