train_loss,val_loss,train_mae,val_mae
0.021747090171537333,0.012761572815707601,19.094669461930447,12.88722469649126
0.013363971263703405,0.01562890361846806,13.273345793807152,15.006488628639524
0.011335662153645227,0.00730646890280399,11.782555531722274,8.734720218339156
0.01107523490907782,0.00704214935712024,11.594250334380108,8.51439774298983
0.010002911475952399,0.00719522170492731,10.811066942811646,8.650285272136134
0.009579462480434377,0.01107711273651685,10.492527395022837,11.745708865531215
0.008719666980598912,0.00828205169904731,9.844553153688471,9.430861163034313
0.008454529345291327,0.006683014032927379,9.641580554182692,8.250978942064462
0.008742317569448127,0.01182909741882842,9.872675097135081,12.264542459496317
0.007844427146144358,0.007942154050070283,9.169851622744256,9.229090733465119
0.007725024957497301,0.007466674560377383,9.05577553126674,8.96325637884602
0.007951298615378351,0.006460304280111181,9.272299796512884,8.033241944166008
0.007682604472558254,0.006579053027776895,9.046403240251445,8.184695253078107
0.0075840026116076615,0.007506377300419865,8.971392880993001,8.967915868549095
0.007226206242871384,0.0074802504015454635,8.697326839068172,8.91288556338407
0.007024872992679472,0.006718782845080424,8.522902541183178,8.255030251389558
0.006257120158010693,0.0077879176577676235,7.92283719015495,9.202138515926142
0.006311574713446772,0.0069196104748986895,7.968847831805017,8.489038616970246
0.00594200003037863,0.008183654373930151,7.663086073251725,9.531911787797702
0.0057912579831357345,0.009466041177347105,7.558281445039816,10.527957294480917
